epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86804193,0.099386275,0.20739472,0.032311536,10.0,-1.8150669,0.0,20.0,0.05
1,0.86799234,0.09944099,0.20738669,0.033723827,20.0,-2.7880607,0.0,40.0,0.15
2,0.8679455,0.09946391,0.20738131,0.0346258,30.0,-2.9630892,0.2,60.0,0.0
3,0.8678805,0.09947751,0.20738164,0.034814104,40.0,-2.9505465,0.5,80.0,0.05
4,0.8678461,0.09947642,0.2073713,0.035073232,50.0,-4.484649,0.2,100.0,0.1
5,0.8678276,0.09949994,0.20736217,0.03535526,60.0,-4.5872836,0.5,120.0,0.1
6,0.86779994,0.09949159,0.20736778,0.035894006,70.0,-4.9762373,0.4,140.0,0.05
7,0.86778426,0.099519335,0.20736508,0.036123972,80.0,-5.525731,0.6,160.0,0.1
8,0.8677216,0.0995492,0.20736496,0.036653586,90.0,-3.4958336,1.0,180.0,0.15
9,0.867688,0.09967815,0.2073737,0.037288133,100.0,-5.18044,0.7,200.0,0.1
10,0.8676815,0.09979113,0.20738438,0.03828782,110.0,-7.3944693,0.2,220.0,0.1
11,0.8676608,0.09980603,0.20737028,0.038940057,120.0,-4.4098864,0.8,240.0,0.05
12,0.86763364,0.09983621,0.20736536,0.039161846,130.0,-6.400828,0.7,260.0,0.0
13,0.86755276,0.09989189,0.20735893,0.03950691,140.0,-8.24254,0.4,280.0,0.05
14,0.86750346,0.09990839,0.20735407,0.03977397,150.0,-6.6056604,0.6,300.0,0.0
15,0.86747354,0.100077234,0.20737568,0.04060294,160.0,-8.983775,0.3,320.0,0.05
16,0.86740834,0.10016182,0.20736556,0.041386787,170.0,-7.6630716,0.6,340.0,0.0
17,0.86738753,0.100233436,0.2073647,0.041857254,180.0,-7.9514985,0.5,360.0,0.0
18,0.8672834,0.1003351,0.20733541,0.04267599,190.0,-7.877799,0.4,380.0,0.1
19,0.8672325,0.10037643,0.20731054,0.04331005,200.0,-11.186335,0.2,400.0,0.15
20,0.86719006,0.100577235,0.20733416,0.044164725,210.0,-7.8596063,0.5,420.0,0.1
