epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8674373,0.09961208,0.20730147,0.03457449,10.0,-1.5684994,0.0,20.0,0.0
1,0.8670886,0.10003773,0.20718364,0.03619705,20.0,-2.4391627,0.0,40.0,0.0
2,0.86695457,0.10000855,0.20714365,0.03695567,30.0,-3.4015126,0.1,60.0,0.05
3,0.86672384,0.100030266,0.20715609,0.03854891,40.0,-4.178922,0.0,80.0,0.05
4,0.8665336,0.10003737,0.2071111,0.038841795,50.0,-3.6378365,0.4,100.0,0.15
5,0.8665363,0.10027331,0.20712398,0.03990443,60.0,-3.389483,0.5,120.0,0.05
6,0.86609954,0.10112802,0.20708105,0.040951505,70.0,-4.258442,0.5,140.0,0.15
7,0.8658745,0.10117229,0.20696776,0.04194988,80.0,-5.445655,0.5,160.0,0.05
8,0.8656971,0.101280846,0.20700154,0.042904213,90.0,-5.081774,0.6,180.0,0.05
9,0.86553687,0.10131588,0.2069247,0.043525573,100.0,-6.205088,0.7,200.0,0.0
10,0.86543274,0.10173605,0.2069844,0.045325354,110.0,-7.018159,0.4,220.0,0.0
11,0.8652006,0.10181288,0.20696387,0.045908872,120.0,-6.2819715,0.7,240.0,0.0
12,0.86506367,0.10260581,0.20690827,0.0467404,130.0,-7.3443413,0.4,260.0,0.0
13,0.86498135,0.10263944,0.20692258,0.047604904,140.0,-5.9740915,0.6,280.0,0.05
14,0.864865,0.10278762,0.20689978,0.049653817,150.0,-6.4709635,0.7,300.0,0.0
15,0.8647755,0.103081785,0.20683704,0.05131148,160.0,-6.9614472,0.5,320.0,0.0
16,0.86460924,0.10338948,0.20678993,0.052534536,170.0,-8.610914,0.4,340.0,0.0
17,0.86450607,0.10342133,0.20677239,0.053991698,180.0,-7.2662673,0.5,360.0,0.15
18,0.8644214,0.10368281,0.20671742,0.0555165,190.0,-7.9206986,0.4,380.0,0.05
19,0.8643231,0.1036594,0.20660532,0.05656115,200.0,-11.06213,0.2,400.0,0.2
20,0.86419564,0.103838466,0.20664011,0.057482243,210.0,-7.715583,0.5,420.0,0.1
21,0.8642347,0.10413945,0.20665987,0.058578692,220.0,-9.785389,0.4,440.0,0.05
22,0.86408806,0.10430742,0.20663196,0.059583038,230.0,-9.367823,0.5,460.0,0.1
23,0.86411166,0.10439984,0.20667015,0.060141124,240.0,-9.700193,0.4,480.0,0.1
24,0.86413956,0.104471326,0.20672637,0.060975827,250.0,-8.362234,0.6,500.0,0.15
25,0.8639364,0.104461126,0.20673753,0.061574362,260.0,-7.3471284,0.7,520.0,0.25
26,0.8638556,0.10475174,0.2068171,0.06285361,270.0,-6.8311462,0.6,540.0,0.0
27,0.8638334,0.104745515,0.20682484,0.06359492,280.0,-10.278524,0.3,560.0,0.0
