epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8689461,0.10063978,0.20757899,0.03597282,10.0,-1.8524334,0.3,20.0,0.05
1,0.86875457,0.10073944,0.20766844,0.039732438,20.0,-2.751079,0.1,40.0,0.05
2,0.86858207,0.10169476,0.2077974,0.04278525,30.0,-3.37087,0.2,60.0,0.05
3,0.8679779,0.10238018,0.20789179,0.045960054,40.0,-3.8202577,0.5,80.0,0.0
4,0.8676384,0.103094794,0.20777231,0.04671812,50.0,-4.3349485,0.3,100.0,0.0
5,0.8674175,0.10318803,0.20769194,0.047507536,60.0,-4.942771,0.5,120.0,0.1
6,0.8669974,0.103255235,0.20747803,0.049731817,70.0,-4.177867,0.9,140.0,0.05
7,0.86682564,0.10368365,0.20748079,0.05195049,80.0,-4.80928,0.8,160.0,0.1
8,0.86637324,0.10401821,0.20742619,0.0549698,90.0,-3.5183773,0.9,180.0,0.0
9,0.8659639,0.104652725,0.20733377,0.055775154,100.0,-5.8106055,0.5,200.0,0.05
10,0.8657704,0.10495186,0.20731774,0.056843318,110.0,-4.015153,0.8,220.0,0.0
11,0.86540407,0.10545985,0.20736879,0.058523234,120.0,-7.32208,0.4,240.0,0.0
12,0.8649648,0.10597855,0.20720173,0.05966136,130.0,-7.507074,0.6,260.0,0.0
13,0.8647714,0.10604763,0.2071905,0.060756054,140.0,-7.7486978,0.5,280.0,0.1
14,0.864369,0.1067037,0.20721908,0.06266118,150.0,-5.6828794,0.8,300.0,0.0
15,0.86357856,0.10797375,0.20735599,0.065259606,160.0,-7.5142355,0.5,320.0,0.0
16,0.8637004,0.10868043,0.20733944,0.06800178,170.0,-7.354079,0.6,340.0,0.0
17,0.86339146,0.10858736,0.20743036,0.06918836,180.0,-8.782346,0.6,360.0,0.0
18,0.8632617,0.108704746,0.2075025,0.070437156,190.0,-10.443071,0.4,380.0,0.15
19,0.86292434,0.10944285,0.20738499,0.07157732,200.0,-9.564937,0.4,400.0,0.05
20,0.86255974,0.11045209,0.20768838,0.07418154,210.0,-7.5432043,0.6,420.0,0.1
