epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8654043,0.10129511,0.2069026,0.039394833,10.0,-1.4597647,0.2,20.0,0.05
1,0.8627456,0.10174244,0.20622894,0.04805979,20.0,-2.6336262,0.0,40.0,0.05
2,0.8621378,0.10511831,0.20626175,0.052014817,30.0,-3.0826752,0.3,60.0,0.0
3,0.8605936,0.1046788,0.20617981,0.05391068,40.0,-3.6183078,0.2,80.0,0.0
4,0.8596068,0.10537527,0.2059894,0.05471261,50.0,-3.9776032,0.5,100.0,0.0
5,0.8575344,0.10581088,0.20559067,0.058184806,60.0,-3.7801392,0.6,120.0,0.0
6,0.858263,0.10649512,0.20588277,0.060434133,70.0,-5.2992373,0.4,140.0,0.1
7,0.85729146,0.10677874,0.20573042,0.060776196,80.0,-6.652785,0.2,160.0,0.0
8,0.85615677,0.10855996,0.20530178,0.062323775,90.0,-4.903057,0.7,180.0,0.05
9,0.85545796,0.10854032,0.2051128,0.06320664,100.0,-5.143329,0.6,200.0,0.0
10,0.8542803,0.108842276,0.20487829,0.064090155,110.0,-7.285493,0.4,220.0,0.1
11,0.85299724,0.109129526,0.20505734,0.06728152,120.0,-5.414238,0.7,240.0,0.05
12,0.8516156,0.111214645,0.20483454,0.06871093,130.0,-6.1020155,0.7,260.0,0.05
13,0.850674,0.11231772,0.20450702,0.07110435,140.0,-8.687266,0.3,280.0,0.0
14,0.8491759,0.11478877,0.20449401,0.07657813,150.0,-8.394022,0.4,300.0,0.0
15,0.8489309,0.11533904,0.20492804,0.0787534,160.0,-5.9946613,0.8,320.0,0.0
16,0.84832543,0.11606731,0.2045121,0.08134885,170.0,-7.493792,0.9,340.0,0.0
17,0.847909,0.11723102,0.20454146,0.08421452,180.0,-5.9306703,0.9,360.0,0.05
18,0.8478883,0.1183277,0.20491268,0.0858904,190.0,-8.71012,0.7,380.0,0.05
19,0.84760094,0.11809507,0.20446949,0.0866595,200.0,-9.423208,0.5,400.0,0.05
20,0.84687656,0.11909241,0.20437324,0.08962863,210.0,-11.5056305,0.4,420.0,0.05
21,0.8466261,0.12081889,0.20421156,0.09211558,220.0,-7.077269,0.7,440.0,0.05
22,0.8470059,0.122065775,0.20441791,0.09321636,230.0,-9.483742,0.5,460.0,0.0
23,0.8463165,0.1243655,0.20475033,0.096597284,240.0,-4.217482,1.0,480.0,0.1
24,0.8462758,0.12565641,0.2051059,0.09960243,250.0,-7.5747666,0.6,500.0,0.05
25,0.846502,0.12619127,0.20511717,0.10113823,260.0,-8.06627,0.5,520.0,0.25
