epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86168927,0.101491,0.20578682,0.040155876,10.0,-1.067392,0.1,20.0,0.0
1,0.86308646,0.101905346,0.20635556,0.046343178,20.0,-2.6092067,0.0,40.0,0.0
2,0.8603652,0.10401151,0.20667914,0.05853011,30.0,-3.5188878,0.0,60.0,0.0
3,0.857215,0.104130246,0.20594388,0.06448365,40.0,-4.364168,0.0,80.0,0.05
4,0.85597676,0.10338226,0.2061892,0.06576736,50.0,-4.5904846,0.2,100.0,0.05
5,0.8538477,0.1054056,0.20549026,0.06706241,60.0,-4.2953005,0.3,120.0,0.05
6,0.85353893,0.10504523,0.205457,0.06613744,70.0,-5.6768694,0.1,140.0,0.0
7,0.8547571,0.10428172,0.20593692,0.06570202,80.0,-7.055463,0.1,160.0,0.1
8,0.8544223,0.10594802,0.2057288,0.06699007,90.0,-7.062608,0.2,180.0,0.0
9,0.853579,0.10891113,0.20609817,0.07040623,100.0,-5.619622,0.8,200.0,0.05
10,0.8527588,0.108797885,0.2063529,0.07076022,110.0,-5.7784696,0.5,220.0,0.05
11,0.8523504,0.1085479,0.20637015,0.070958726,120.0,-8.215268,0.3,240.0,0.0
12,0.85166115,0.10816502,0.20621884,0.07075605,130.0,-6.9994345,0.4,260.0,0.05
13,0.85163,0.107409835,0.20639741,0.07143424,140.0,-8.821962,0.1,280.0,0.1
14,0.8508423,0.108766116,0.20592983,0.07176408,150.0,-9.112165,0.2,300.0,0.05
15,0.85111874,0.10859952,0.20598452,0.07391963,160.0,-9.678873,0.2,320.0,0.0
16,0.85150814,0.10832906,0.20602521,0.073343016,170.0,-8.4965,0.2,340.0,0.05
17,0.8510756,0.10839379,0.20587969,0.073429756,180.0,-12.776533,0.1,360.0,0.05
18,0.85075593,0.10945574,0.20632745,0.07723192,190.0,-9.415477,0.0,380.0,0.05
19,0.8499141,0.109678574,0.20588481,0.07895142,200.0,-12.107926,0.1,400.0,0.05
20,0.84935313,0.110864334,0.20559467,0.08300345,210.0,-11.041123,0.3,420.0,0.0
21,0.84870595,0.11371744,0.20524088,0.08578268,220.0,-12.368425,0.0,440.0,0.0
22,0.8476332,0.11695993,0.20470239,0.08941129,230.0,-12.521845,0.2,460.0,0.0
23,0.8467665,0.11850982,0.2046341,0.09272338,240.0,-9.4926405,0.2,480.0,0.05
24,0.844786,0.122242354,0.20360339,0.09604862,250.0,-11.63852,0.0,500.0,0.0
25,0.84506065,0.122317165,0.20306253,0.0976582,260.0,-11.943336,0.0,520.0,0.05
26,0.8445,0.12303931,0.2031073,0.09927433,270.0,-12.3628845,0.0,540.0,0.0
27,0.8433097,0.12578669,0.20272179,0.101909235,280.0,-10.503855,0.3,560.0,0.0
28,0.8429981,0.12570713,0.20268431,0.102670975,290.0,-12.905359,0.2,580.0,0.05
29,0.8423068,0.12658769,0.20240553,0.103580914,300.0,-14.601748,0.3,600.0,0.05
30,0.8423703,0.12824054,0.20269151,0.10517498,310.0,-11.163839,0.1,620.0,0.0
31,0.842241,0.1299207,0.20277639,0.105933644,320.0,-13.54496,0.5,640.0,0.0
32,0.8413205,0.13026531,0.20262937,0.10800678,330.0,-11.667221,0.4,660.0,0.0
33,0.8405444,0.13185321,0.20252363,0.11013668,340.0,-12.626877,0.2,680.0,0.1
34,0.8400774,0.13200878,0.20247616,0.11119316,350.0,-7.479026,0.6,700.0,0.1
35,0.83922976,0.13413854,0.20225234,0.11317715,360.0,-7.6829934,0.5,720.0,0.1
36,0.83956724,0.1340232,0.20271035,0.11381493,370.0,-12.759974,0.2,740.0,0.15
37,0.8390882,0.13481046,0.20265523,0.11528388,380.0,-10.873626,0.5,760.0,0.05
38,0.83936316,0.13437404,0.20287895,0.116460465,390.0,-9.783964,0.2,780.0,0.05
39,0.8390081,0.13502052,0.20275089,0.11741872,400.0,-10.134732,0.4,800.0,0.05
40,0.8388946,0.13467602,0.20274265,0.117869504,410.0,-9.034453,0.4,820.0,0.1
