epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8680611,0.09939476,0.20743321,0.03270233,10.0,-1.8531338,0.0,20.0,0.05
1,0.86800987,0.099413596,0.20742568,0.03422922,20.0,-2.1915743,0.2,40.0,0.0
2,0.86793965,0.09941834,0.20741051,0.034426913,30.0,-2.8028913,0.5,60.0,0.1
3,0.8679016,0.09942659,0.20742491,0.03573899,40.0,-3.3329513,0.4,80.0,0.05
4,0.8678605,0.0994704,0.20743717,0.036169335,50.0,-3.4110684,0.6,100.0,0.1
5,0.8677966,0.09953201,0.20742308,0.03659597,60.0,-4.583986,0.4,120.0,0.1
6,0.86777264,0.099540554,0.20740679,0.037118807,70.0,-3.9946163,0.7,140.0,0.05
7,0.8677342,0.09955382,0.20740089,0.037429925,80.0,-3.6780193,0.7,160.0,0.05
8,0.86768603,0.09958482,0.20737986,0.037962727,90.0,-4.9831696,0.5,180.0,0.05
9,0.867662,0.099651635,0.20733374,0.038886245,100.0,-4.7016373,0.5,200.0,0.0
10,0.8676236,0.09967772,0.20733084,0.039188415,110.0,-4.3176527,0.8,220.0,0.15
11,0.86758083,0.099677056,0.20731346,0.039636515,120.0,-8.169497,0.3,240.0,0.15
12,0.8675344,0.0997222,0.20732087,0.03997545,130.0,-7.5457907,0.3,260.0,0.0
13,0.8674694,0.09987554,0.20732945,0.040501427,140.0,-5.3957243,0.7,280.0,0.0
14,0.8674657,0.09994465,0.2073472,0.0409597,150.0,-8.340934,0.4,300.0,0.05
15,0.86736196,0.100042485,0.20737813,0.041909385,160.0,-7.216746,0.4,320.0,0.1
16,0.86732024,0.1000547,0.20737302,0.042269744,170.0,-9.002164,0.2,340.0,0.0
17,0.8672893,0.10006541,0.20737231,0.04241998,180.0,-6.1438937,0.6,360.0,0.05
18,0.8672693,0.100108445,0.2073818,0.0426724,190.0,-6.769418,0.6,380.0,0.05
19,0.86719686,0.1001363,0.20737761,0.043170795,200.0,-7.4607058,0.6,400.0,0.15
20,0.8671586,0.10028613,0.20738085,0.043849755,210.0,-6.063261,0.8,420.0,0.2
21,0.8670837,0.10037238,0.20737731,0.044460762,220.0,-5.0423274,0.8,440.0,0.0
22,0.8670418,0.10045662,0.20738071,0.0450396,230.0,-6.75274,0.6,460.0,0.2
23,0.86701185,0.100479804,0.20736301,0.04560728,240.0,-8.4359665,0.6,480.0,0.05
24,0.86697507,0.100585915,0.20737295,0.046062738,250.0,-7.681634,0.6,500.0,0.05
25,0.86695784,0.10078146,0.20739485,0.046692047,260.0,-6.3758965,0.7,520.0,0.25
26,0.866822,0.10123251,0.20737438,0.04770769,270.0,-9.832597,0.6,540.0,0.1
27,0.86673117,0.10146309,0.20735924,0.04826885,280.0,-8.30402,0.7,560.0,0.25
28,0.866558,0.101738416,0.20732953,0.048845753,290.0,-9.368251,0.7,580.0,0.2
29,0.86652833,0.101770036,0.20729646,0.04938016,300.0,-6.9101152,0.6,600.0,0.35
30,0.86650354,0.10185844,0.2073014,0.049781702,310.0,-6.1574774,0.9,620.0,0.2
31,0.86643773,0.10200536,0.20730534,0.050338697,320.0,-7.817894,0.6,640.0,0.15
