epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8673189,0.0997267,0.2072503,0.036118034,10.0,-1.4477011,0.2,20.0,0.05
1,0.86716896,0.10017798,0.20725483,0.038602654,20.0,-2.2439845,0.3,40.0,0.05
2,0.86699843,0.10026202,0.20728248,0.040555,30.0,-2.4150574,0.4,60.0,0.15
3,0.8668165,0.100302696,0.20724653,0.04085149,40.0,-3.0744026,0.5,80.0,0.1
4,0.86660546,0.100421704,0.20722497,0.04161641,50.0,-3.5800233,0.7,100.0,0.05
5,0.8663663,0.10051215,0.20717163,0.04297923,60.0,-3.627919,0.7,120.0,0.05
6,0.86624855,0.10072031,0.20717682,0.04401059,70.0,-4.3492594,0.6,140.0,0.0
7,0.86616486,0.10087788,0.2072016,0.044617597,80.0,-3.8791738,1.0,160.0,0.0
8,0.86604404,0.10108445,0.20717907,0.04623681,90.0,-5.1397758,0.7,180.0,0.05
9,0.86579055,0.10136873,0.20712364,0.046961796,100.0,-6.0996976,0.5,200.0,0.1
10,0.865616,0.10193908,0.20712899,0.048504267,110.0,-7.3998156,0.3,220.0,0.0
11,0.86559767,0.10219052,0.20705402,0.049644005,120.0,-5.5443277,0.8,240.0,0.05
12,0.8652885,0.10294098,0.20709346,0.05115302,130.0,-6.3714886,0.7,260.0,0.05
13,0.865175,0.10306329,0.20715219,0.05304262,140.0,-4.8860507,1.0,280.0,0.05
14,0.8650145,0.10311095,0.20707183,0.054197267,150.0,-6.3953476,0.6,300.0,0.15
15,0.86481404,0.103756964,0.20713873,0.056436453,160.0,-6.979252,0.9,320.0,0.05
16,0.8647676,0.104218625,0.2071472,0.05740495,170.0,-7.4091835,0.6,340.0,0.25
17,0.8644152,0.10555089,0.20717075,0.059479542,180.0,-7.1153955,0.7,360.0,0.0
18,0.86408705,0.106988996,0.20706554,0.061278176,190.0,-7.477449,0.7,380.0,0.05
19,0.8640087,0.10699025,0.20702943,0.061971273,200.0,-6.2480583,0.7,400.0,0.1
20,0.8638616,0.10851831,0.20710014,0.06434497,210.0,-9.0767975,0.5,420.0,0.05
21,0.86374235,0.10866342,0.20713283,0.06556239,220.0,-8.497586,0.8,440.0,0.0
22,0.86350894,0.10897979,0.20696959,0.06695501,230.0,-7.7169914,0.7,460.0,0.1
23,0.86334497,0.10918462,0.2068969,0.067959026,240.0,-9.766185,0.6,480.0,0.05
24,0.8632359,0.11012628,0.20693988,0.06924183,250.0,-12.577536,0.2,500.0,0.25
25,0.8629741,0.11032558,0.20692906,0.069999516,260.0,-7.7141776,0.5,520.0,0.2
26,0.8627513,0.11047727,0.20687044,0.07083376,270.0,-7.8539705,0.6,540.0,0.15
27,0.86262757,0.110756814,0.20686968,0.0717273,280.0,-6.911242,0.8,560.0,0.1
28,0.86256975,0.1111928,0.20690456,0.07256713,290.0,-9.289678,0.4,580.0,0.1
29,0.86233264,0.111438625,0.20697254,0.0733941,300.0,-11.947403,0.3,600.0,0.15
30,0.86220455,0.11146126,0.2070096,0.07414735,310.0,-5.617952,0.6,620.0,0.1
31,0.8622799,0.11154578,0.20704897,0.07498546,320.0,-7.076989,0.7,640.0,0.2
32,0.8621905,0.11150813,0.20702852,0.07586684,330.0,-6.558017,0.6,660.0,0.25
33,0.8622861,0.11201946,0.20693174,0.07687548,340.0,-4.9796553,0.8,680.0,0.15
34,0.8622265,0.1119323,0.20697322,0.077445365,350.0,-5.9269247,0.8,700.0,0.3
35,0.86211103,0.11225301,0.20694561,0.07843827,360.0,-5.1775384,0.8,720.0,0.2
36,0.86205083,0.112269364,0.2069248,0.078909166,370.0,-7.3639274,0.7,740.0,0.25
37,0.8618826,0.11231198,0.20692532,0.07965877,380.0,-9.715961,0.7,760.0,0.35
38,0.86187166,0.112475775,0.20696804,0.080591954,390.0,-7.040348,0.7,780.0,0.2
39,0.86174446,0.11255073,0.20694004,0.081146955,400.0,-11.029663,0.4,800.0,0.25
40,0.8616455,0.11250037,0.2069543,0.08143225,410.0,-6.175861,0.8,820.0,0.25
41,0.86153007,0.11256214,0.20694798,0.0818752,420.0,-7.872882,0.6,840.0,0.45
42,0.86151934,0.11249342,0.20692518,0.08214328,430.0,-7.0342026,0.7,860.0,0.25
43,0.8614207,0.11254393,0.2069067,0.08255073,440.0,-5.140447,0.9,880.0,0.35
44,0.8613152,0.11259815,0.206857,0.08291223,450.0,-4.6931486,0.7,900.0,0.1
45,0.8610642,0.11303049,0.20685093,0.08346606,460.0,-2.9160428,0.8,920.0,0.4
46,0.8610582,0.11318626,0.20684071,0.08418353,470.0,-5.2958117,0.7,940.0,0.35
47,0.8608275,0.11312574,0.20687936,0.084618196,480.0,-6.5211334,0.5,960.0,0.3
48,0.86084265,0.11306453,0.20691009,0.084869556,490.0,-3.3109977,0.8,980.0,0.25
49,0.860719,0.11301935,0.206882,0.08523428,500.0,-2.5715718,0.9,1000.0,0.4
50,0.8606507,0.11294836,0.20693147,0.085477635,510.0,-5.403358,0.7,1020.0,0.25
51,0.8606155,0.11332875,0.20692547,0.08586949,520.0,-9.686787,0.5,1040.0,0.3
52,0.86047935,0.11348268,0.2069702,0.08653899,530.0,-5.613797,0.6,1060.0,0.2
53,0.8604641,0.11372439,0.20697941,0.08716219,540.0,-3.935429,0.6,1080.0,0.1
54,0.8604962,0.11413804,0.20704843,0.08752306,550.0,-8.134472,0.5,1100.0,0.2
55,0.8604669,0.11416284,0.20713261,0.08786666,560.0,-5.251517,0.5,1120.0,0.4
56,0.8604288,0.11418458,0.20710298,0.08831333,570.0,-5.1976542,0.7,1140.0,0.5
57,0.8603193,0.11428062,0.20695539,0.088720314,580.0,-5.219487,0.8,1160.0,0.2
58,0.86012954,0.114759624,0.20696175,0.0893101,590.0,-4.0202627,0.6,1180.0,0.4
59,0.85999686,0.11508789,0.20693155,0.08987352,600.0,-7.0071945,0.6,1200.0,0.35
60,0.8598382,0.115305364,0.20688638,0.09019569,610.0,-5.3932695,0.7,1220.0,0.25
61,0.85975474,0.11540415,0.20693076,0.09045697,620.0,-3.1189787,0.8,1240.0,0.3
