epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.865099,0.10220129,0.20716968,0.04815764,10.0,-1.64133,0.0,20.0,0.05
1,0.8643367,0.10333031,0.2072061,0.05086502,20.0,-2.2543786,0.1,40.0,0.0
2,0.8636405,0.103354156,0.20688382,0.051619355,30.0,-3.0998287,0.0,60.0,0.05
3,0.86315745,0.10365244,0.20672362,0.05242156,40.0,-4.247059,0.0,80.0,0.05
4,0.86153203,0.10468932,0.20679697,0.05492538,50.0,-4.793998,0.1,100.0,0.05
5,0.8608592,0.10659224,0.20690177,0.056850865,60.0,-5.1033297,0.3,120.0,0.05
6,0.85992783,0.10845124,0.20713842,0.060892496,70.0,-4.2869883,0.5,140.0,0.0
7,0.85910225,0.10925,0.20682782,0.062131997,80.0,-4.7787685,0.5,160.0,0.05
8,0.85888344,0.11000838,0.20691223,0.06279974,90.0,-6.3919272,0.6,180.0,0.0
9,0.8578753,0.110929616,0.20680818,0.06379914,100.0,-5.863406,0.7,200.0,0.1
10,0.8575472,0.110684164,0.20690763,0.064176686,110.0,-6.0401707,0.6,220.0,0.0
11,0.8572739,0.11049918,0.20701605,0.064789966,120.0,-4.9550653,0.7,240.0,0.05
12,0.85634345,0.110808484,0.2068565,0.06539812,130.0,-6.362894,0.7,260.0,0.1
13,0.8562241,0.111262865,0.2067514,0.065592185,140.0,-7.008462,0.4,280.0,0.1
14,0.8556122,0.111544766,0.20659916,0.06635403,150.0,-7.8505716,0.5,300.0,0.0
15,0.8555594,0.11197256,0.20674802,0.0685614,160.0,-6.6323905,0.6,320.0,0.05
16,0.8552883,0.11197263,0.20671645,0.069833316,170.0,-7.241275,0.6,340.0,0.0
17,0.85523635,0.11261821,0.2068845,0.07276276,180.0,-4.491896,0.9,360.0,0.05
18,0.85507554,0.114046305,0.2068152,0.075400084,190.0,-9.642637,0.5,380.0,0.0
19,0.8546255,0.115244366,0.20666197,0.07771379,200.0,-8.77355,0.5,400.0,0.3
20,0.85459787,0.11595428,0.2066198,0.07947138,210.0,-12.20471,0.3,420.0,0.1
21,0.8546433,0.11611739,0.20674427,0.080732845,220.0,-6.514192,0.6,440.0,0.05
22,0.85442203,0.11643406,0.20656672,0.08171534,230.0,-7.255435,0.7,460.0,0.1
23,0.8544918,0.116691254,0.20647126,0.08333812,240.0,-7.5334716,0.6,480.0,0.35
24,0.8538418,0.116963536,0.20636469,0.08458529,250.0,-9.003705,0.5,500.0,0.2
25,0.8535096,0.117237926,0.20609924,0.08577416,260.0,-5.662452,0.8,520.0,0.2
26,0.8530133,0.11857155,0.20610029,0.087080926,270.0,-6.9814405,0.7,540.0,0.15
