epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86674833,0.09944162,0.20725358,0.03520235,10.0,-1.7092501,0.1,20.0,0.0
1,0.86661625,0.09946835,0.20721416,0.03620948,20.0,-2.6057172,0.1,40.0,0.1
2,0.8665514,0.09949046,0.20718521,0.036818672,30.0,-3.6103463,0.0,60.0,0.05
3,0.86651754,0.099509396,0.20716825,0.03762383,40.0,-4.260637,0.0,80.0,0.0
4,0.8664253,0.09951669,0.20711973,0.03847005,50.0,-4.657973,0.1,100.0,0.0
5,0.86629915,0.09962431,0.20711134,0.039507713,60.0,-5.4761615,0.2,120.0,0.05
6,0.86622304,0.09963051,0.20709465,0.040009707,70.0,-5.2523117,0.1,140.0,0.1
7,0.86615866,0.099645175,0.20707452,0.040491857,80.0,-4.3913736,0.8,160.0,0.05
8,0.866116,0.09967109,0.20703459,0.041099146,90.0,-4.784801,0.7,180.0,0.0
9,0.8660601,0.09977148,0.20705584,0.04152823,100.0,-6.8217096,0.5,200.0,0.1
10,0.8659646,0.09991022,0.20704676,0.042265404,110.0,-5.4802585,0.7,220.0,0.05
11,0.8659024,0.099983454,0.20707962,0.043063607,120.0,-6.2707987,0.6,240.0,0.05
12,0.8658506,0.10011657,0.20708944,0.043627825,130.0,-6.293157,0.5,260.0,0.0
13,0.8657241,0.1003081,0.20709413,0.044681367,140.0,-7.3701143,0.6,280.0,0.0
14,0.86560506,0.100522436,0.20707329,0.046118516,150.0,-7.1625924,0.8,300.0,0.05
15,0.8655123,0.10060375,0.2070644,0.04704093,160.0,-9.670733,0.2,320.0,0.0
16,0.86540824,0.10073462,0.20708948,0.048123263,170.0,-7.04687,0.6,340.0,0.0
17,0.8653435,0.10082408,0.20710981,0.04895194,180.0,-10.439183,0.3,360.0,0.0
18,0.8652575,0.10099167,0.20709617,0.049940206,190.0,-7.460649,0.7,380.0,0.1
19,0.86519146,0.1010052,0.20712076,0.050531916,200.0,-6.1034784,0.7,400.0,0.25
20,0.86506253,0.100988366,0.2070948,0.05131285,210.0,-6.439885,0.7,420.0,0.15
21,0.8649575,0.10104611,0.20707074,0.05225212,220.0,-6.553496,0.9,440.0,0.1
22,0.8647489,0.1012654,0.2070563,0.052967235,230.0,-6.93168,0.7,460.0,0.1
23,0.8646929,0.101275064,0.20706075,0.053623945,240.0,-5.2017684,0.9,480.0,0.25
24,0.8646364,0.10155568,0.20702639,0.05473047,250.0,-8.317046,0.6,500.0,0.1
25,0.864489,0.10162777,0.20700034,0.05516613,260.0,-4.725009,0.7,520.0,0.25
26,0.86439294,0.101757966,0.20698304,0.055913493,270.0,-5.4885693,0.8,540.0,0.35
27,0.8642912,0.10180666,0.20692371,0.056620628,280.0,-4.8276606,0.9,560.0,0.15
28,0.8642466,0.101970665,0.20692016,0.057229422,290.0,-9.0402775,0.4,580.0,0.25
29,0.86416936,0.10202324,0.20691219,0.057959646,300.0,-7.923772,0.5,600.0,0.25
30,0.8640595,0.10204649,0.2069405,0.058250513,310.0,-8.607558,0.3,620.0,0.35
31,0.86400944,0.10201033,0.20693348,0.05857588,320.0,-10.091401,0.4,640.0,0.25
32,0.8638652,0.10224829,0.20682089,0.05928688,330.0,-8.051412,0.7,660.0,0.35
33,0.8638008,0.1025666,0.20676333,0.06015953,340.0,-6.9859686,0.7,680.0,0.1
34,0.8637388,0.10266105,0.2067731,0.0608639,350.0,-7.633504,0.3,700.0,0.15
35,0.86360383,0.10288209,0.2067611,0.061343852,360.0,-6.7017927,0.4,720.0,0.3
36,0.8635524,0.10291859,0.20674637,0.061525907,370.0,-8.089551,0.8,740.0,0.25
37,0.8632423,0.10340836,0.20671748,0.062126216,380.0,-5.227067,0.6,760.0,0.2
38,0.8632326,0.103466965,0.20668213,0.062718414,390.0,-6.286868,0.8,780.0,0.2
39,0.8631781,0.103469454,0.20672363,0.063206084,400.0,-5.7662005,0.7,800.0,0.25
40,0.8631511,0.10375156,0.20673363,0.06372537,410.0,-7.8440413,0.5,820.0,0.1
41,0.8629753,0.10429531,0.20672296,0.06448516,420.0,-7.364969,0.5,840.0,0.2
42,0.8628807,0.10464295,0.20674881,0.06521416,430.0,-11.256644,0.6,860.0,0.2
43,0.86285144,0.10500193,0.20673099,0.06619682,440.0,-8.460937,0.6,880.0,0.2
44,0.86279553,0.10504516,0.20672853,0.06668811,450.0,-8.921213,0.4,900.0,0.45
45,0.86279696,0.1052003,0.20674425,0.06713093,460.0,-8.73677,0.6,920.0,0.3
46,0.8627092,0.10543087,0.20676275,0.067661904,470.0,-6.3010263,0.6,940.0,0.35
47,0.8625946,0.105549596,0.20679054,0.06810895,480.0,-8.647665,0.5,960.0,0.35
48,0.86250967,0.105792485,0.20681499,0.0687337,490.0,-5.407991,0.7,980.0,0.1
49,0.8624663,0.10575638,0.20684524,0.06902948,500.0,-4.9147663,0.8,1000.0,0.3
50,0.8624119,0.105823375,0.20685095,0.069461085,510.0,-6.9689913,0.7,1020.0,0.3
51,0.86243415,0.10614654,0.20694862,0.07000736,520.0,-7.1227355,0.5,1040.0,0.05
52,0.86243725,0.106187224,0.2070106,0.070303895,530.0,-3.453947,0.4,1060.0,0.25
53,0.86229324,0.10660461,0.2070443,0.07091897,540.0,-5.566454,0.4,1080.0,0.35
54,0.8622671,0.10666781,0.20706356,0.07116067,550.0,-3.524763,0.7,1100.0,0.35
55,0.8621597,0.10676103,0.20707156,0.07140025,560.0,-8.585892,0.5,1120.0,0.3
56,0.86215407,0.10692922,0.20712939,0.07191855,570.0,-3.0707989,0.9,1140.0,0.4
57,0.8621523,0.10701764,0.2071442,0.07228326,580.0,-3.1828256,0.8,1160.0,0.2
58,0.8620747,0.10721544,0.2071355,0.07281163,590.0,-4.6801605,0.8,1180.0,0.3
59,0.86203784,0.1072827,0.20719433,0.07306632,600.0,-5.919018,0.7,1200.0,0.5
60,0.8619616,0.10736766,0.20717329,0.073377915,610.0,-7.1055374,0.6,1220.0,0.4
61,0.8619172,0.10747448,0.20717773,0.07368022,620.0,-5.078876,0.7,1240.0,0.2
62,0.86193895,0.107496835,0.20715658,0.07392781,630.0,-3.5482452,0.9,1260.0,0.4
63,0.8618657,0.10771506,0.20714514,0.07422794,640.0,-7.446135,0.5,1280.0,0.3
64,0.861828,0.10783392,0.20718214,0.07449974,650.0,-6.2976847,0.7,1300.0,0.35
65,0.8618154,0.10807685,0.207174,0.07481781,660.0,-2.9045043,1.0,1320.0,0.4
66,0.86176634,0.10811617,0.20720515,0.07501815,670.0,-4.4225917,0.6,1340.0,0.45
67,0.8616988,0.108223535,0.20723787,0.07536305,680.0,-4.110556,0.8,1360.0,0.3
68,0.86160177,0.10832719,0.20722803,0.07552397,690.0,-1.9560165,0.9,1380.0,0.25
69,0.8615291,0.10834527,0.20721722,0.07562213,700.0,-2.2650104,1.0,1400.0,0.5
70,0.8614705,0.108330436,0.20720096,0.07580885,710.0,-4.1009436,0.8,1420.0,0.55
71,0.86133224,0.10856939,0.20719454,0.07613191,720.0,-3.3026924,0.9,1440.0,0.35
