epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8680462,0.09947809,0.20737363,0.03311505,10,-2.0021002,0.1,20,0.05
1,0.8679941,0.09947535,0.20734377,0.033769187,20,-2.7997584,0,40,0
2,0.8679537,0.09956789,0.20734377,0.034348283,30,-3.1981888,0.2,60,0
3,0.86789054,0.09956785,0.20732298,0.034998804,40,-3.944926,0.3,80,0.1
4,0.86782867,0.099594295,0.2073171,0.035839546,50,-3.330953,0.7,100,0
5,0.8677775,0.09960979,0.20732388,0.03630559,60,-5.1178613,0.2,120,0.05
6,0.8677416,0.09965172,0.20731553,0.03671503,70,-5.3618007,0.4,140,0
7,0.8677414,0.09972026,0.20731874,0.037309308,80,-5.936757,0.2,160,0.05
8,0.86770815,0.09971574,0.2073237,0.03754664,90,-4.6216416,0.6,180,0.05
9,0.86767745,0.09973612,0.20733821,0.03814502,100,-7.3638687,0.2,200,0
10,0.8676555,0.09975789,0.20735477,0.03878546,110,-5.7867374,0.5,220,0.15
11,0.86763424,0.09980729,0.20733368,0.039470937,120,-8.192057,0.2,240,0.05
12,0.86756086,0.099891365,0.20732203,0.039843615,130,-8.227734,0.1,260,0.1
13,0.8675163,0.09995999,0.207329,0.040372323,140,-10.021597,0.2,280,0.05
14,0.86748475,0.10001564,0.20729767,0.04082138,150,-7.926919,0.3,300,0
15,0.8674454,0.100137055,0.20730332,0.04155365,160,-7.533905,0.5,320,0
16,0.8674088,0.10021072,0.20731658,0.042177886,170,-5.8431735,0.7,340,0
17,0.8673785,0.10022656,0.20730716,0.04259389,180,-5.9385386,0.6,360,0.05
18,0.867356,0.10036582,0.20729181,0.043081876,190,-7.6681914,0.6,380,0.05
19,0.8673179,0.10040289,0.20729122,0.043576423,200,-8.547044,0.7,400,0.1
20,0.8672672,0.10044793,0.20729282,0.04383161,210,-9.599458,0.4,420,0.15
21,0.8671932,0.10051155,0.20725706,0.0442424,220,-8.910318,0.5,440,0.2
22,0.86714774,0.10055783,0.20727499,0.044690143,230,-4.370964,0.9,460,0.1
23,0.8671053,0.10058814,0.20724475,0.044992343,240,-8.085171,0.7,480,0
24,0.8670737,0.10059168,0.20723303,0.0451686,250,-6.7560997,0.7,500,0.1
25,0.867033,0.10064844,0.20724128,0.045606498,260,-5.794149,0.8,520,0.05
26,0.8669793,0.10066011,0.2072328,0.0460172,270,-5.720331,0.7,540,0.15
27,0.8669792,0.10073429,0.20722966,0.046354476,280,-5.2028556,1,560,0.1
28,0.86694384,0.100780405,0.20722394,0.046762045,290,-4.4276385,0.8,580,0.45
29,0.86689025,0.10082627,0.20723744,0.047429476,300,-5.75616,0.7,600,0.1
30,0.86682296,0.10091441,0.20724446,0.047937747,310,-5.8685193,0.8,620,0.4
31,0.8668089,0.100933395,0.2072412,0.048232213,320,-7.4213142,0.6,640,0.2
32,0.8667676,0.10095156,0.2072255,0.0485493,330,-7.245154,0.7,660,0.3
33,0.8667372,0.100952365,0.20724207,0.048909273,340,-4.265425,1,680,0.2
