,epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.8655164925000001,0.1004451995,0.20707670749999998,0.04107234625,10.0,-1.6168563,0.1,20.0,0.0125
1,1.0,0.864776325,0.101018749,0.207169895,0.045314221999999994,20.0,-2.277994575,0.225,40.0,0.0625
2,2.0,0.8637226600000001,0.10138403900000001,0.2070913625,0.04864320625,30.0,-2.80052235,0.3,60.0,0.07500000000000001
3,3.0,0.863201935,0.10156994999999999,0.20697855249999997,0.05028982825,40.0,-3.5159367,0.275,80.0,0.05
4,4.0,0.8623099325000001,0.1022601925,0.2070509,0.05424088825,50.0,-4.1695738,0.325,100.0,0.05
5,5.0,0.8616691875,0.10274321475,0.2069865775,0.0557431195,60.0,-4.049134625000001,0.55,120.0,0.08750000000000001
6,6.0,0.860803685,0.104128129,0.2070523925,0.05852801175,70.0,-4.3434592,0.65,140.0,0.037500000000000006
7,7.0,0.8600244450000001,0.10518463275,0.20697912999999998,0.06023345299999999,80.0,-4.288410525,0.6499999999999999,160.0,0.05
8,8.0,0.859585675,0.10586212500000002,0.20690197999999999,0.0619335885,90.0,-5.400601849999999,0.6499999999999999,180.0,0.025
9,9.0,0.85867326,0.1069322265,0.20672205249999998,0.06414611199999999,100.0,-4.9458915,0.75,200.0,0.0625
10,10.0,0.85833844,0.107553286,0.206616245,0.065358109,110.0,-6.0095905,0.6,220.0,0.0125
11,11.0,0.8579961899999999,0.10770598375000001,0.20660778000000002,0.066711049,120.0,-6.6363295,0.525,240.0,0.05
12,12.0,0.85734507,0.10814112075,0.20653389749999998,0.0676646165,130.0,-6.5105773,0.6,260.0,0.05
13,13.0,0.8571258325,0.10963128875,0.2063207325,0.07009385,140.0,-6.74499405,0.55,280.0,0.037500000000000006
14,14.0,0.8566458175,0.11014555525,0.20630322499999998,0.0719894475,150.0,-7.44587865,0.575,300.0,0.0125
15,15.0,0.8562450749999999,0.1107262685,0.2062410925,0.0745047,160.0,-7.96156755,0.5,320.0,0.037500000000000006
16,16.0,0.8559257249999999,0.111217615,0.20622834,0.07607103650000001,170.0,-8.411159074999999,0.5,340.0,0.037500000000000006
17,17.0,0.85570693,0.11262772375,0.2061892925,0.07863559349999999,180.0,-7.62121885,0.6499999999999999,360.0,0.07500000000000001
18,18.0,0.8551616575000001,0.11374576025,0.2060803225,0.0810044585,190.0,-8.60498765,0.5,380.0,0.037500000000000006
19,19.0,0.854815025,0.11527514675,0.2061421075,0.08337098899999999,200.0,-7.87885855,0.575,400.0,0.15
20,20.0,0.8545215025,0.11603267125,0.20619310749999997,0.08534914125,210.0,-8.405071925,0.625,420.0,0.09999999999999999
21,21.0,0.85456401,0.11631794250000001,0.206338175,0.086883739,220.0,-7.292895249999999,0.675,440.0,0.1125
22,22.0,0.854350335,0.116400159,0.20630647,0.08809405375,230.0,-7.87726125,0.575,460.0,0.125
23,23.0,0.8541865625,0.117062737,0.2064268275,0.089710774,240.0,-8.55521615,0.55,480.0,0.19999999999999998
