epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8680189,0.09940191,0.20740815,0.032755118,10,-1.6267878,0.1,20,0
1,0.867944,0.09942595,0.20738466,0.033452854,20,-2.7341752,0.1,40,0.05
2,0.8678739,0.09943486,0.20737308,0.034575216,30,-3.3876777,0.1,60,0.05
3,0.8678532,0.099446975,0.20738597,0.034748927,40,-3.2717056,0.2,80,0.05
4,0.86779195,0.099454075,0.20737357,0.035072047,50,-4.482316,0.1,100,0.15
5,0.8677413,0.09948375,0.20736617,0.035645183,60,-4.2506056,0.2,120,0.1
6,0.86771315,0.09959,0.20736021,0.036730148,70,-4.846015,0.2,140,0
7,0.8676612,0.09960989,0.20736015,0.03691499,80,-5.505416,0.2,160,0.1
8,0.86763734,0.099623285,0.20735532,0.037454102,90,-5.7968087,0,180,0.1
9,0.8676133,0.09963226,0.20734982,0.03770081,100,-4.9684,0.3,200,0.05
10,0.8675828,0.09963708,0.20733656,0.038020253,110,-5.2539377,0.4,220,0.05
11,0.8674976,0.099651076,0.20732355,0.038389966,120,-5.802108,0.1,240,0
12,0.8674345,0.09969145,0.2073203,0.0385968,130,-5.7526865,0.2,260,0
13,0.86737615,0.0997096,0.20729914,0.038748965,140,-6.358339,0.1,280,0.05
14,0.8673248,0.099811174,0.20728506,0.03916589,150,-6.3599,0.2,300,0
15,0.867253,0.10004421,0.20726955,0.039568804,160,-7.051881,0.1,320,0
16,0.86722803,0.10004755,0.20727226,0.039845534,170,-7.996427,0.1,340,0
17,0.8671692,0.10005579,0.20726505,0.039969698,180,-7.2780914,0.1,360,0
18,0.86713153,0.10007758,0.20726205,0.040375967,190,-7.329303,0.2,380,0.05
19,0.86711377,0.10011933,0.20726025,0.04051438,200,-7.2034063,0.3,400,0.05
20,0.8670886,0.10011679,0.20725182,0.040824566,210,-5.057802,0.6,420,0.1
21,0.86703604,0.10014511,0.20726272,0.04115878,220,-6.324436,0.4,440,0.05
22,0.86700255,0.100148685,0.2072661,0.041343573,230,-7.173793,0.2,460,0.05
23,0.8669717,0.100153774,0.20725596,0.04163296,240,-6.3216343,0.2,480,0.1
24,0.8669334,0.100172736,0.20726322,0.04192531,250,-7.6356306,0,500,0
