epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8680162,0.09952146,0.20739937,0.03334274,10.0,-1.63259,0.0,20.0,0.05
1,0.86795634,0.09962484,0.2073997,0.034260415,20.0,-2.097892,0.3,40.0,0.05
2,0.8678997,0.09965184,0.20737135,0.03483136,30.0,-2.9615717,0.4,60.0,0.1
3,0.86786366,0.099675365,0.20736594,0.035241008,40.0,-3.163396,0.6,80.0,0.1
4,0.8678353,0.099692225,0.20736592,0.03549801,50.0,-3.690775,0.4,100.0,0.1
5,0.8678046,0.099696614,0.20736517,0.036015544,60.0,-4.70638,0.3,120.0,0.1
6,0.8677953,0.09973196,0.20736347,0.036255065,70.0,-3.4742424,0.8,140.0,0.0
7,0.8677314,0.09983492,0.20736998,0.036876187,80.0,-2.7725444,1.0,160.0,0.05
8,0.867698,0.09985962,0.20735763,0.037454333,90.0,-3.7626598,0.9,180.0,0.1
9,0.86766505,0.099903226,0.2073521,0.037971884,100.0,-5.2699428,0.5,200.0,0.0
10,0.86764145,0.0999248,0.20732069,0.038596947,110.0,-7.107302,0.4,220.0,0.0
11,0.8676216,0.09994648,0.20730482,0.039049525,120.0,-5.1694727,0.8,240.0,0.1
12,0.8675789,0.099961065,0.20729347,0.03960407,130.0,-7.3868437,0.5,260.0,0.0
13,0.867508,0.100150205,0.20729762,0.040469885,140.0,-7.9029746,0.5,280.0,0.0
14,0.86746997,0.10025766,0.20733018,0.04153437,150.0,-5.696555,0.7,300.0,0.1
15,0.8674417,0.10033902,0.20734902,0.04229789,160.0,-6.3302,0.7,320.0,0.0
16,0.8673725,0.10035414,0.20735747,0.04272662,170.0,-8.00827,0.5,340.0,0.0
17,0.8673336,0.100365125,0.20735654,0.04351315,180.0,-8.458149,0.7,360.0,0.15
18,0.8672855,0.100389384,0.20735544,0.044071298,190.0,-10.334982,0.3,380.0,0.05
19,0.86723965,0.100460865,0.20736413,0.044741794,200.0,-7.5558205,0.5,400.0,0.05
20,0.86717844,0.1006282,0.2073745,0.045557834,210.0,-8.977391,0.4,420.0,0.05
21,0.8671815,0.100845896,0.20740855,0.04673583,220.0,-9.890449,0.5,440.0,0.15
22,0.8671791,0.10088724,0.20742545,0.047084726,230.0,-7.979252,0.4,460.0,0.1
23,0.8671357,0.10098085,0.20742036,0.047515225,240.0,-6.245296,0.7,480.0,0.2
24,0.8670859,0.101002276,0.2074405,0.048016205,250.0,-7.3412004,0.5,500.0,0.05
25,0.86709905,0.10099938,0.20742796,0.048329547,260.0,-9.352787,0.4,520.0,0.25
26,0.86704296,0.10107657,0.20741837,0.04891881,270.0,-6.2033806,0.9,540.0,0.15
27,0.86701876,0.10116008,0.20739113,0.049472045,280.0,-8.105067,0.6,560.0,0.15
28,0.8669853,0.1013138,0.20740078,0.050132394,290.0,-6.801169,0.7,580.0,0.15
29,0.86690927,0.10135672,0.20739812,0.05084871,300.0,-10.211145,0.4,600.0,0.3
30,0.8668015,0.101569794,0.20740986,0.05141395,310.0,-7.130208,0.5,620.0,0.05
31,0.86673933,0.10165467,0.20740415,0.052052878,320.0,-4.183781,0.9,640.0,0.0
32,0.8666763,0.10172849,0.20739923,0.052442864,330.0,-6.848006,0.4,660.0,0.25
33,0.8666366,0.101952404,0.20740579,0.052964557,340.0,-7.8978777,0.4,680.0,0.2
34,0.8665712,0.10207051,0.2074189,0.053601246,350.0,-10.314611,0.3,700.0,0.25
35,0.86651987,0.102096416,0.20738766,0.053940553,360.0,-8.536318,0.6,720.0,0.15
36,0.86646014,0.10211432,0.20736796,0.054141294,370.0,-11.305409,0.4,740.0,0.35
37,0.8663799,0.10220917,0.20734291,0.05468666,380.0,-6.4003267,0.6,760.0,0.45
38,0.86631197,0.1022621,0.20735972,0.055157524,390.0,-6.258817,0.7,780.0,0.2
39,0.86622113,0.102535345,0.20731816,0.05562894,400.0,-9.375704,0.3,800.0,0.2
40,0.86615825,0.102566265,0.20731167,0.05595151,410.0,-5.640149,0.7,820.0,0.25
41,0.86601615,0.10274538,0.20730007,0.056439847,420.0,-6.5339227,0.7,840.0,0.1
42,0.8659477,0.102779716,0.20728523,0.05671957,430.0,-6.1298323,0.8,860.0,0.35
43,0.86587447,0.10289269,0.20728138,0.057059728,440.0,-8.128267,0.2,880.0,0.35
44,0.86582446,0.102987446,0.20728438,0.057454232,450.0,-7.407052,0.5,900.0,0.3
45,0.86578685,0.10307539,0.20729002,0.057739183,460.0,-4.3023024,0.7,920.0,0.2
46,0.8657837,0.10324193,0.20727545,0.058199555,470.0,-4.290517,0.6,940.0,0.2
47,0.86574966,0.10322673,0.2072503,0.058419105,480.0,-7.732833,0.6,960.0,0.45
48,0.8657284,0.103204906,0.20721808,0.058709707,490.0,-6.8212156,0.5,980.0,0.35
49,0.8656768,0.103343494,0.20720886,0.059000418,500.0,-5.6672034,0.6,1000.0,0.15
50,0.86562186,0.103332676,0.20720038,0.05951413,510.0,-4.351004,0.8,1020.0,0.3
51,0.8656151,0.10337601,0.20717283,0.059727527,520.0,-6.397961,0.7,1040.0,0.4
52,0.86557025,0.10339423,0.2071888,0.06010698,530.0,-4.070898,0.6,1060.0,0.25
53,0.8655622,0.10354159,0.2072006,0.0604949,540.0,-6.7290864,0.6,1080.0,0.2
54,0.8655309,0.10370678,0.20717472,0.060800217,550.0,-3.1345487,0.9,1100.0,0.25
55,0.8654627,0.10386062,0.20716769,0.061119147,560.0,-7.652234,0.5,1120.0,0.2
56,0.86544794,0.10393062,0.20716722,0.061409637,570.0,-3.1918583,0.7,1140.0,0.25
57,0.8653674,0.1040005,0.20714065,0.061643682,580.0,-7.7947807,0.6,1160.0,0.45
58,0.8652976,0.1040918,0.2071237,0.062024247,590.0,-4.7898297,0.9,1180.0,0.25
59,0.86527294,0.10412347,0.20710549,0.06226846,600.0,-4.9898195,0.6,1200.0,0.4
60,0.865187,0.10443,0.20707984,0.062498916,610.0,-5.767874,0.6,1220.0,0.05
61,0.8651154,0.10468378,0.20707321,0.06269359,620.0,-3.8627086,0.8,1240.0,0.4
62,0.86506253,0.104701675,0.2070771,0.06280794,630.0,-5.220124,0.8,1260.0,0.35
63,0.86501604,0.10487461,0.20705603,0.063202195,640.0,-1.9325516,0.8,1280.0,0.25
64,0.8649532,0.10511309,0.20703308,0.06356816,650.0,-5.256512,0.8,1300.0,0.1
65,0.8649206,0.10519909,0.20699799,0.06378783,660.0,-5.4797945,0.6,1320.0,0.6
66,0.8648629,0.10523522,0.20696886,0.06398907,670.0,-6.521116,0.7,1340.0,0.4
67,0.86478037,0.10528087,0.20694397,0.064138,680.0,-1.9884145,0.8,1360.0,0.4
68,0.8647296,0.105328284,0.20694977,0.064467914,690.0,-3.9369698,0.8,1380.0,0.5
69,0.8646895,0.10538581,0.20692135,0.0647355,700.0,-5.1565213,0.7,1400.0,0.25
70,0.86466074,0.105397105,0.20692135,0.06500786,710.0,-2.5510764,0.9,1420.0,0.5
71,0.864635,0.10551152,0.2069025,0.06524887,720.0,-2.8406003,0.9,1440.0,0.25
72,0.8646,0.105550766,0.20688029,0.06543898,730.0,-2.3122337,0.9,1460.0,0.4
73,0.86458546,0.10561416,0.20686369,0.06561602,740.0,-2.5910993,0.9,1480.0,0.6
74,0.8645482,0.105596215,0.20685326,0.06578071,750.0,-9.239499,0.4,1500.0,0.5
75,0.86453503,0.105630666,0.20684558,0.06595265,760.0,-7.487129,0.7,1520.0,0.5
76,0.86448604,0.10577828,0.20684117,0.06614319,770.0,-4.2094717,0.7,1540.0,0.4
77,0.86445785,0.105778135,0.20680209,0.06632983,780.0,-2.3491647,0.9,1560.0,0.6
78,0.8644468,0.105770886,0.20678459,0.06649162,790.0,-4.685738,0.6,1580.0,0.45
79,0.86441755,0.10581901,0.20678681,0.06672259,800.0,-2.8101687,0.7,1600.0,0.45
80,0.86438036,0.105856635,0.20674199,0.066888236,810.0,-3.282327,0.8,1620.0,0.45
81,0.8643668,0.10599116,0.2067465,0.06710087,820.0,-2.5573168,0.8,1640.0,0.45
82,0.86437434,0.10605069,0.20672968,0.06730428,830.0,-5.8602567,0.8,1660.0,0.6
83,0.86433226,0.10607659,0.20672661,0.067393154,840.0,-2.3337388,0.9,1680.0,0.55
84,0.86432046,0.10627852,0.20671223,0.06759899,850.0,-3.192446,0.8,1700.0,0.4
85,0.864304,0.10631891,0.20671874,0.06767096,860.0,-3.2283394,0.7,1720.0,0.55
86,0.86431336,0.10636324,0.20674393,0.067855366,870.0,-2.6311026,0.9,1740.0,0.55
87,0.86427504,0.1064262,0.20673648,0.067985795,880.0,-4.18583,0.6,1760.0,0.6
88,0.8642947,0.10644088,0.20674166,0.06822811,890.0,-2.062696,0.9,1780.0,0.3
89,0.864295,0.10643602,0.20676243,0.06837597,900.0,-1.8682038,1.0,1800.0,0.55
90,0.8642686,0.106451906,0.20674449,0.06852058,910.0,-3.4349937,0.9,1820.0,0.6
91,0.86421484,0.1065226,0.20672804,0.0686933,920.0,-1.5533197,1.0,1840.0,0.5
92,0.8641729,0.106607705,0.20668195,0.06893864,930.0,-5.1648054,0.8,1860.0,0.55
93,0.86408263,0.10682734,0.20667292,0.06909646,940.0,-5.636176,0.6,1880.0,0.6
94,0.86406666,0.10693946,0.20671238,0.06929974,950.0,-1.3776371,1.0,1900.0,0.35
95,0.86400694,0.10698402,0.20669863,0.06954664,960.0,-1.5037498,1.0,1920.0,0.45
96,0.86398983,0.10696354,0.20670237,0.06964146,970.0,-1.3524997,1.0,1940.0,0.5
97,0.86394006,0.10706297,0.20671368,0.069927014,980.0,-3.0201604,0.9,1960.0,0.35
98,0.8639159,0.1070579,0.20668702,0.07006371,990.0,-1.6270096,1.0,1980.0,0.55
99,0.8638828,0.10715548,0.20670271,0.07023986,1000.0,-1.8307588,1.0,2000.0,0.45
100,0.86386013,0.107404985,0.20671676,0.07048942,1010.0,-2.4077787,0.9,2020.0,0.5
101,0.8638263,0.1074054,0.20670624,0.07061162,1020.0,-4.2402396,0.8,2040.0,0.5
102,0.8638312,0.10749564,0.20668772,0.07081232,1030.0,-2.642218,0.9,2060.0,0.4
103,0.8637946,0.1076171,0.20670414,0.07103053,1040.0,-2.954966,0.9,2080.0,0.4
104,0.8637845,0.1076329,0.2067147,0.07115571,1050.0,-3.198962,0.8,2100.0,0.4
105,0.8637977,0.10770899,0.20670776,0.07131559,1060.0,-1.8522367,0.9,2120.0,0.45
106,0.8637788,0.10772669,0.20671292,0.07140636,1070.0,-1.2801218,1.0,2140.0,0.7
107,0.8637796,0.10775083,0.20671387,0.07144888,1080.0,-2.7053933,0.9,2160.0,0.7
108,0.8637371,0.107759416,0.2067098,0.071480975,1090.0,-2.522987,1.0,2180.0,0.65
109,0.86374027,0.10776565,0.20671478,0.0715591,1100.0,-2.2125049,1.0,2200.0,0.6
110,0.8637492,0.107758276,0.20668922,0.07169249,1110.0,-3.9995866,0.7,2220.0,0.6
111,0.8637528,0.10781642,0.20670508,0.07180186,1120.0,-3.533424,0.8,2240.0,0.55
112,0.8637345,0.10779778,0.20671073,0.07189571,1130.0,-1.8625724,1.0,2260.0,0.5
113,0.8637049,0.10780126,0.20669162,0.07204222,1140.0,-2.2827144,0.9,2280.0,0.6
114,0.8636904,0.10781328,0.20668416,0.07216885,1150.0,-1.4145238,1.0,2300.0,0.55
115,0.8636716,0.10789708,0.2066843,0.07232986,1160.0,-2.7825637,0.7,2320.0,0.35
116,0.8636605,0.10789291,0.20669419,0.07236899,1170.0,-2.5680091,0.9,2340.0,0.45
117,0.8636527,0.10786853,0.20670371,0.07245715,1180.0,-3.448108,0.8,2360.0,0.75
118,0.86363095,0.107927226,0.20671147,0.07260061,1190.0,-2.1939607,1.0,2380.0,0.45
119,0.8636386,0.10799706,0.20671594,0.07275233,1200.0,-5.0134535,0.8,2400.0,0.35
120,0.86364824,0.10801342,0.20670748,0.07282026,1210.0,-1.8215793,0.9,2420.0,0.55
121,0.8636679,0.10800507,0.20672551,0.072913624,1220.0,-2.17586,1.0,2440.0,0.5
122,0.8636697,0.10801113,0.20675686,0.073050134,1230.0,-3.2225482,1.0,2460.0,0.75
123,0.8636622,0.10800681,0.20673996,0.07332273,1240.0,-1.5619609,1.0,2480.0,0.45
124,0.8636468,0.10803912,0.20674732,0.07342571,1250.0,-3.4602962,0.8,2500.0,0.6
125,0.863605,0.108069636,0.20672724,0.073514365,1260.0,-5.176098,0.8,2520.0,0.7
126,0.8635971,0.10811017,0.20673423,0.073675655,1270.0,-2.365384,1.0,2540.0,0.5
127,0.8635383,0.108248614,0.20672087,0.07385108,1280.0,-1.9484508,1.0,2560.0,0.55
128,0.8635318,0.1082504,0.20671608,0.073970586,1290.0,-2.8466725,0.9,2580.0,0.55
129,0.86354166,0.10825833,0.20672458,0.07404795,1300.0,-2.9920478,0.9,2600.0,0.3
130,0.8634929,0.10828149,0.20673059,0.07420266,1310.0,-2.191053,0.9,2620.0,0.7
131,0.86345464,0.10833148,0.20670474,0.07433022,1320.0,-2.6832893,0.9,2640.0,0.65
132,0.8634543,0.10830861,0.2067044,0.07438646,1330.0,-4.148738,0.9,2660.0,0.55
133,0.8634903,0.108318806,0.20671177,0.07448158,1340.0,-2.312446,0.9,2680.0,0.6
134,0.86343265,0.10844415,0.2066822,0.074664116,1350.0,-2.8997796,0.9,2700.0,0.65
135,0.8633905,0.10843372,0.20669846,0.07471558,1360.0,-1.5721233,1.0,2720.0,0.65
136,0.8634209,0.108466595,0.20669454,0.07476068,1370.0,-4.0623116,0.9,2740.0,0.6
137,0.8634344,0.10848459,0.20672983,0.07482633,1380.0,-3.708062,0.9,2760.0,0.45
138,0.86337227,0.10850469,0.20670341,0.074885584,1390.0,-2.8581178,0.9,2780.0,0.7
